CODE;ENGLISH;FRENCH;GERMAN;POLISH;SPANISH;HUNGARIAN;CZECH;HUNGARIAN;DUTCH;PORTUGUESE;RUSSIAN;FINNISH;;x;;;;;;;;;;;;;;;;
canton;Hilly Farmland;;;;;;;;x
annecy;Deciduous Forest Mountains;;;;;;;;x
kassel;Hilly Farmland;;;;;;;;x
nagasaki;Hilly Farmland;;;;;;;;x
koblenz;Forested Farmland;;;;;;;;x
rouen;Good Farmland;;;;;;;;x
lubeck;Good Farmland;;;;;;;;x
pozan;Good Farmland;;;;;;;;x
braunschweig;Forested Farmland;;;;;;;;x
linz;Hilly Farmland;;;;;;;;x
catania;Hilly Farmland;;;;;;;;x
chemnitz;Deciduous Forest Mountains;;;;;;;;x
stjohn;Conifer Forest;;;;;;;;x
berlin;Forested Farmland;;;;;;;;x
paris;Good Farmland;;;;;;;;x
london;Marginal Farmland;;;;;;;;x
stpetersburg;Forested Farmland;;;;;;;;x
vienna;Good Farmland;;;;;;;;x
newyork;Forested Farmland;;;;;;;;x
rome;Hilly Farmland;;;;;;;;x
madrid;Hilly Farmland;;;;;;;;x
stockholm;Forested Farmland;;;;;;;;x
istanbul;Forested Farmland;;;;;;;;x
warsaw;Marginal Farmland;;;;;;;;x
athens;Hilly Farmland;;;;;;;;x
lisbon;Good Farmland;;;;;;;;x
amsterdam;Good Farmland;;;;;;;;x
brussels;Good Farmland;;;;;;;;x
copenhagen;Good Farmland;;;;;;;;x
oslo;Hilly Farmland;;;;;;;;x
helsinki;Forested Farmland;;;;;;;;x
munich;Hilly Farmland;;;;;;;;x
hanover;Good Farmland;;;;;;;;x
dublin;Good Farmland;;;;;;;;x
belgrade;Good Farmland;;;;;;;;x
turin;Floodplain Farmland;;;;;;;;x
naples;Good Farmland;;;;;;;;x
bern;Good Farmland;;;;;;;;x
pest;Good Farmland;;;;;;;;x
bukarest;Good Farmland;;;;;;;;x
cairo;Floodplain Farmland;;;;;;;;x
prague;Good Farmland;;;;;;;;x
cologne;Good Farmland;;;;;;;;x
mexicocity;Hilly Farmland;;;;;;;;x
barcelona;Deciduous Forest Hills;;;;;;;;x
edinburgh;Hilly Farmland;;;;;;;;x
edo;Good Farmland;;;;;;;;x
hanseong;Hilly Farmland;;;;;;;;x
peking;Hilly Farmland;;;;;;;;x
shanghai;Floodplain Farmland;;;;;;;;x
hongkong;Seasonal Jungle Hills;;;;;;;;x
macao;Marginal Farmland;;;;;;;;x
